235.8333,324.0343,478.3231
236.2708,325.6379,515.4564
238.0521,328.0897,517.0909
235.9063,1619.7183114599618,514.89
236.7604,268.8324,519.1310653572423
224.82362466032623,404.048,486.0912
237.4167,391.2652,516.233
238.6563,380.8241,491.7929516891567
237.6042,388.023,435.3508
238.0313,206.4349,487.675
235.0729,217.55599179794143,613.426301889524
235.5313,400.0787,660.2347
236.86154824858545,411.2069,621.2346
234.4688,395.2343,611.3408
235.5,344.8221,643.0863
235.6354,385.6432,642.3482
234.5521,401.6234,622.2783603379416
236.0,409.6489,602.9347
235.2396,416.8795,589.3457
235.4896,-794294.1272940766,556.3452
236.9688,-12087139.18649015,538.347
